lat,lon,umap_x,umap_y,grid_x,grid_y
37.053043,-117.597933,17.44827,4.3128743,2.0,3.0
70.347543,-158.180158,19.810244,4.0337663,3.0,2.0
31.661313,-84.65937,17.000023,2.5128772,1.0,0.0
39.544186,-100.962353,17.462963,3.4658034,4.0,2.0
38.343528,-75.72947,17.505764,2.6422784,0.0,0.0
47.122545,-103.807449,18.313416,4.486825,3.0,3.0
46.67955,-94.846575,18.781738,3.6418974,0.0,1.0
46.433291,-105.571042,18.699215,4.581625,1.0,3.0
47.250558,-110.598352,18.424295,5.213801,0.0,4.0
43.075698,-78.434849,18.020235,2.3675444,3.0,0.0
41.817369,-87.966391,17.800858,3.0480292,4.0,1.0
34.321297,-108.875179,16.96391,4.3225126,4.0,4.0
44.93112,-93.040818,18.29067,3.4541764,1.0,1.0
37.829241,-76.352532,17.359436,2.1009166,4.0,0.0
61.354171,-144.417441,19.978613,5.284598,3.0,4.0
68.300843,-156.150722,19.894001,4.458367,1.0,2.0
59.695635,-154.631702,20.199816,4.848718,4.0,3.0
67.494128,-149.342975,19.645813,4.7821674,0.0,3.0
31.783832,-95.419897,16.627756,2.9242792,2.0,1.0
37.413079,-120.672067,16.376337,2.3444617,2.0,0.0
36.917653,-79.092506,17.123083,2.9631698,3.0,1.0
41.079143,-106.883018,19.168404,4.3489313,0.0,2.0
47.294487,-110.798,17.908886,5.008907,1.0,4.0
37.3313,-116.90596,17.208488,4.7190795,2.0,4.0
65.253884,-165.834431,20.386623,4.3029647,2.0,2.0
