lat,lon,umap_x,umap_y,grid_x_norm,grid_y_norm,grid_x,grid_y,pixel_x,pixel_y
37.053043,-117.597933,-1.7560129,2.5963037,1.0,0.5,4.0,2.0,256.0,128.0
70.347543,-158.180158,-0.809159,-0.028149242,0.0,0.0,0.0,0.0,0.0,0.0
31.661313,-84.65937,-3.2139435,2.4139707,0.0,1.0,0.0,4.0,0.0,256.0
39.544186,-100.962353,-2.967619,1.3452213,0.75,0.25,3.0,1.0,192.0,64.0
38.343528,-75.72947,-3.2138205,1.8261448,0.25,0.5,1.0,2.0,64.0,128.0
47.122545,-103.807449,-0.7430655,2.2840722,0.75,1.0,3.0,4.0,192.0,256.0
46.67955,-94.846575,-2.3209465,1.3174226,0.0,0.5,0.0,2.0,0.0,128.0
46.433291,-105.571042,-1.30578,2.0351279,0.5,0.75,2.0,3.0,128.0,192.0
47.250558,-110.598352,-0.39322838,1.8599758,1.0,0.75,4.0,3.0,256.0,192.0
43.075698,-78.434849,-2.7006369,1.7840703,0.5,0.5,2.0,2.0,128.0,128.0
41.817369,-87.966391,-3.1570175,0.75455433,0.75,0.0,3.0,0.0,192.0,0.0
35.321297,-108.875179,-1.3001858,2.8932583,1.0,1.0,4.0,4.0,256.0,256.0
44.93112,-93.040818,-2.4091918,0.671104,1.0,0.0,4.0,0.0,256.0,0.0
37.829241,-76.352532,-3.6339204,1.5523974,0.25,0.25,1.0,1.0,64.0,64.0
61.354171,-144.417441,-0.9150413,0.6818688,0.5,0.25,2.0,1.0,128.0,64.0
68.300843,-156.150722,-0.5474816,0.3563485,0.0,0.25,0.0,1.0,0.0,64.0
59.695635,-154.631702,-1.6316428,-0.055763356,0.25,0.0,1.0,0.0,64.0,0.0
67.494128,-148.342975,-0.27871203,0.7248451,1.0,0.25,4.0,1.0,256.0,64.0
31.783832,-95.419897,-3.7502232,2.2700202,0.0,0.75,0.0,3.0,0.0,192.0
37.413079,-119.672067,-2.0209036,3.2298508,0.75,0.75,3.0,3.0,192.0,192.0
36.917653,-79.092506,-2.7843466,2.1778886,0.25,0.75,1.0,3.0,64.0,192.0
41.079143,-106.883018,-1.0707947,1.2784395,0.75,0.5,3.0,2.0,192.0,128.0
47.294487,-110.798,-0.87967634,1.7896034,0.25,1.0,1.0,4.0,64.0,256.0
37.3313,-116.90596,-1.7438328,3.0368278,0.5,1.0,2.0,4.0,128.0,256.0
65.253884,-165.834431,-1.2233576,0.21192147,0.5,0.0,2.0,0.0,128.0,0.0
