lat,lon,umap_x,umap_y,grid_x_norm,grid_y_norm,grid_x,grid_y,pixel_x,pixel_y
43.372079,-88.002904,-0.08176665,5.1029935,1.0,0.6666666666666666,3.0,2.0,192.0,128.0
45.163192,-118.219833,-0.16655825,3.340758,0.6666666666666666,0.6666666666666666,2.0,2.0,128.0,128.0
42.962558,-94.263311,-1.0638527,4.656262,0.6666666666666666,0.0,2.0,0.0,128.0,0.0
43.90229,-109.107056,-0.11440982,3.9108367,1.0,0.0,3.0,0.0,192.0,0.0
44.570841,-101.471582,-2.3879058,4.446993,0.0,0.3333333333333333,0.0,1.0,0.0,64.0
35.467029,-76.099152,-0.51911694,4.7374864,0.6666666666666666,1.0,2.0,3.0,128.0,192.0
37.349355,-93.169475,-1.098545,5.3806524,0.3333333333333333,1.0,1.0,3.0,64.0,192.0
44.025938,-97.459109,-1.8901039,4.955469,0.3333333333333333,0.3333333333333333,1.0,1.0,64.0,64.0
34.375348,-89.528084,-0.48381263,5.8222446,1.0,0.3333333333333333,3.0,1.0,192.0,64.0
30.36799,-103.45167,-1.1252111,3.5610428,0.3333333333333333,0.6666666666666666,1.0,2.0,64.0,128.0
34.190617,-106.541481,-0.9400301,2.900565,0.0,1.0,0.0,3.0,0.0,192.0
38.652664,-102.080731,-1.7264525,3.478865,0.3333333333333333,0.0,1.0,0.0,64.0,0.0
41.510519,-112.867022,-2.425722,3.6943526,0.0,0.0,0.0,0.0,0.0,0.0
37.587306,-91.899533,-1.0459529,6.0216064,0.6666666666666666,0.3333333333333333,2.0,1.0,128.0,64.0
66.442724,-142.102231,0.4171922,4.3155727,1.0,1.0,3.0,3.0,192.0,192.0
38.655022,-98.726181,-1.6451672,4.2348948,0.0,0.6666666666666666,0.0,2.0,0.0,128.0
