lat,lon,umap_x,umap_y,grid_x_norm,grid_y_norm,grid_x,grid_y,pixel_x,pixel_y
60.087969,-162.207602,-3.493016,2.664678,0.10526315789473684,0.2631578947368421,2.0,5.0,128.0,320.0
39.035143,-97.128462,13.306198,5.9404697,0.7894736842105263,0.5263157894736842,15.0,10.0,960.0,640.0
35.939865,-96.90903,13.552721,6.065638,0.5263157894736842,0.42105263157894735,10.0,8.0,640.0,512.0
69.591378,-161.754697,-2.864463,2.1247585,0.10526315789473684,0.10526315789473684,2.0,2.0,128.0,128.0
45.339104,-70.792024,10.497801,2.2853942,0.3684210526315789,0.15789473684210525,7.0,3.0,448.0,192.0
67.90495,-157.890292,-3.101658,2.3010051,0.0,0.21052631578947367,0.0,4.0,0.0,256.0
34.388201,-88.674081,13.084528,1.5177202,0.631578947368421,0.05263157894736842,12.0,1.0,768.0,64.0
61.299183,-148.487842,-1.6594856,3.0055358,0.10526315789473684,0.6842105263157894,2.0,13.0,128.0,832.0
29.415526,-90.908357,12.83885,1.1123853,0.9473684210526315,0.05263157894736842,18.0,1.0,1152.0,64.0
62.725209,-146.058071,-0.807984,5.2332907,0.15789473684210525,1.0,3.0,19.0,192.0,1216.0
36.928724,-112.585022,11.300864,8.592275,0.5263157894736842,0.8421052631578947,10.0,16.0,640.0,1024.0
31.758975,-109.600847,12.151328,8.410248,0.6842105263157894,0.7894736842105263,13.0,15.0,832.0,960.0
41.88481,-116.711012,10.507405,7.8343096,0.2631578947368421,0.5789473684210527,5.0,11.0,320.0,704.0
34.250514,-96.654384,12.985434,1.9458923,0.42105263157894735,0.05263157894736842,8.0,1.0,512.0,64.0
34.704892,-100.508143,12.876677,7.7065463,1.0,0.8421052631578947,19.0,16.0,1216.0,1024.0
44.013149,-103.768182,8.95375,6.749566,0.47368421052631576,0.7368421052631579,9.0,14.0,576.0,896.0
47.599715,-109.82937,10.697013,6.881813,0.3684210526315789,0.5263157894736842,7.0,10.0,448.0,640.0
59.656725,-155.969743,-3.557764,2.7330344,0.0,0.3684210526315789,0.0,7.0,0.0,448.0
42.528707,-84.518231,14.676356,3.8036497,0.5789473684210527,0.2631578947368421,11.0,5.0,704.0,320.0
43.969553,-123.054902,9.49821,5.9169602,0.9473684210526315,0.8421052631578947,18.0,16.0,1152.0,1024.0
44.246418,-70.197044,10.551563,1.9976964,0.5789473684210527,0.15789473684210525,11.0,3.0,704.0,192.0
61.50235,-151.36516,-1.8421177,2.74325,0.15789473684210525,0.47368421052631576,3.0,9.0,192.0,576.0
47.166591,-87.256585,1.3435688,0.7167592,0.3157894736842105,0.3157894736842105,6.0,6.0,384.0,384.0
40.826824,-88.173059,15.224448,3.9669864,0.9473684210526315,0.3684210526315789,18.0,7.0,1152.0,448.0
46.828495,-105.551241,10.938873,6.7710466,0.6842105263157894,0.6842105263157894,13.0,13.0,832.0,832.0
37.577494,-114.066147,9.133573,7.5401917,0.3684210526315789,0.894736842105263,7.0,17.0,448.0,1088.0
43.412797,-122.442684,8.889504,6.2683105,1.0,1.0,19.0,19.0,1216.0,1216.0
33.311121,-95.669011,1.3035864,0.6792626,0.894736842105263,0.5263157894736842,17.0,10.0,1088.0,640.0
67.050363,-160.772832,-0.62827754,4.797331,0.21052631578947367,0.894736842105263,4.0,17.0,256.0,1088.0
43.551999,-72.518055,10.860517,1.836257,0.894736842105263,0.15789473684210525,17.0,3.0,1088.0,192.0
35.616979,-117.983649,11.630821,8.829467,0.3157894736842105,0.6842105263157894,6.0,13.0,384.0,832.0
69.015356,-162.091139,-3.1435149,2.11013,0.10526315789473684,0.0,2.0,0.0,128.0,0.0
37.396916,-121.907359,12.121939,2.7762299,0.3157894736842105,0.15789473684210525,6.0,3.0,384.0,192.0
46.018821,-112.160759,8.884799,6.608596,0.5789473684210527,0.7894736842105263,11.0,15.0,704.0,960.0
47.298109,-107.193156,10.865476,6.9198384,0.21052631578947367,0.42105263157894735,4.0,8.0,256.0,512.0
31.011262,-101.634056,13.304716,7.563903,0.6842105263157894,0.631578947368421,13.0,12.0,832.0,768.0
35.963099,-83.649888,13.273717,2.464559,0.631578947368421,0.15789473684210525,12.0,3.0,768.0,192.0
37.000372,-88.883722,13.851259,3.2617586,0.2631578947368421,0.15789473684210525,5.0,3.0,320.0,192.0
31.782319,-112.217434,12.259974,8.602067,0.42105263157894735,0.631578947368421,8.0,12.0,512.0,768.0
41.907112,-107.036435,10.805154,8.184532,0.42105263157894735,0.7368421052631579,8.0,14.0,512.0,896.0
42.076346,-92.768596,15.139585,4.041035,0.47368421052631576,0.2631578947368421,9.0,5.0,576.0,320.0
61.099308,-150.25123,1.3048892,0.7702601,0.2631578947368421,0.3157894736842105,5.0,6.0,320.0,384.0
60.04119,-143.830963,-1.5347708,2.788718,0.15789473684210525,0.5789473684210527,3.0,11.0,192.0,704.0
44.267737,-93.049726,13.862588,3.8366554,0.7894736842105263,0.3684210526315789,15.0,7.0,960.0,448.0
32.098355,-89.664788,13.283435,0.97523105,0.5263157894736842,0.0,10.0,0.0,640.0,0.0
41.274344,-91.446612,14.867514,3.8292663,0.7894736842105263,0.3157894736842105,15.0,6.0,960.0,384.0
39.84747,-90.316435,13.817505,3.4580674,0.42105263157894735,0.21052631578947367,8.0,4.0,512.0,256.0
60.971707,-148.180579,1.3007629,0.71526045,0.6842105263157894,0.47368421052631576,13.0,9.0,832.0,576.0
