lat,lon,umap_x,umap_y,grid_x_norm,grid_y_norm,grid_x,grid_y,pixel_x,pixel_y
34.340675,-81.606671,-6.255553,15.246054,0.0,0.8888888888888888,0.0,8.0,0.0,512.0
63.28631,-150.759473,2.3935568,12.016883,0.8888888888888888,1.0,8.0,9.0,512.0,576.0
66.391557,-159.54841,3.5688202,12.132852,0.8888888888888888,0.0,8.0,0.0,512.0,0.0
62.112852,-165.625846,3.4871595,12.235688,1.0,0.6666666666666666,9.0,6.0,576.0,384.0
47.673538,-106.039934,-2.007439,14.616991,0.4444444444444444,0.8888888888888888,4.0,8.0,256.0,512.0
38.019901,-84.438723,-5.5473866,14.142395,0.1111111111111111,0.7777777777777777,1.0,7.0,64.0,448.0
46.879796,-67.821949,2.7025635,12.790263,0.7777777777777777,0.0,7.0,0.0,448.0,0.0
63.381931,-162.20129,3.6021526,11.890285,1.0,0.4444444444444444,9.0,4.0,576.0,256.0
60.432238,-157.034513,3.3786268,11.839768,0.8888888888888888,0.2222222222222222,8.0,2.0,512.0,128.0
67.284688,-143.708025,2.539016,12.395907,0.8888888888888888,0.8888888888888888,8.0,8.0,512.0,512.0
41.320811,-123.345106,-0.9784848,13.594744,0.6666666666666666,0.7777777777777777,6.0,7.0,384.0,448.0
38.936553,-95.29744,-5.2895207,14.012819,0.4444444444444444,0.1111111111111111,4.0,1.0,256.0,64.0
32.480305,-114.13228,-1.4975661,15.478509,0.5555555555555556,1.0,5.0,9.0,320.0,576.0
66.475733,-159.055881,2.9497044,12.465365,0.8888888888888888,0.4444444444444444,8.0,4.0,512.0,256.0
38.450503,-84.108884,-6.1388264,13.731966,0.1111111111111111,0.4444444444444444,1.0,4.0,64.0,256.0
47.122001,-99.24587,-3.750008,13.939574,0.3333333333333333,0.6666666666666666,3.0,6.0,192.0,384.0
37.496848,-111.981342,-1.1022338,14.979843,0.6666666666666666,0.8888888888888888,6.0,8.0,384.0,512.0
46.14517,-90.816848,-6.256536,12.943308,0.1111111111111111,0.1111111111111111,1.0,1.0,64.0,64.0
32.125144,-95.23785,-6.52792,15.123048,0.2222222222222222,0.3333333333333333,2.0,3.0,128.0,192.0
39.409317,-103.360531,-2.6911345,14.774591,0.4444444444444444,0.6666666666666666,4.0,6.0,256.0,384.0
70.21139,-148.27122,3.9341943,12.321428,1.0,0.1111111111111111,9.0,1.0,576.0,64.0
31.995239,-100.650134,-2.2534301,15.335152,0.5555555555555556,0.2222222222222222,5.0,2.0,320.0,128.0
38.660752,-87.070792,-5.4003096,13.71671,0.0,1.0,0.0,9.0,0.0,576.0
38.018945,-86.606861,-6.6326346,13.682234,0.0,0.3333333333333333,0.0,3.0,0.0,192.0
62.224038,-149.810462,2.6381204,12.259139,0.8888888888888888,0.6666666666666666,8.0,6.0,512.0,384.0
35.187691,-98.056098,-3.1287117,15.107083,0.4444444444444444,0.5555555555555556,4.0,5.0,256.0,320.0
38.392598,-86.252002,-6.651246,13.835691,0.1111111111111111,0.2222222222222222,1.0,2.0,64.0,128.0
48.945531,-122.451678,-5.356827,14.416464,0.2222222222222222,0.6666666666666666,2.0,6.0,128.0,384.0
36.486661,-87.943931,-7.0078125,13.781693,0.1111111111111111,0.0,1.0,0.0,64.0,0.0
48.555504,-116.772714,-0.6161451,13.464021,0.7777777777777777,0.7777777777777777,7.0,7.0,448.0,448.0
41.555765,-97.449432,-4.3654866,13.292135,0.2222222222222222,0.8888888888888888,2.0,8.0,128.0,512.0
45.026898,-106.909415,-1.7630568,14.888185,0.5555555555555556,0.5555555555555556,5.0,5.0,320.0,320.0
41.037738,-114.489093,-1.4583209,14.826048,0.6666666666666666,0.2222222222222222,6.0,2.0,384.0,128.0
70.371977,-156.852072,3.9699275,12.196013,1.0,0.0,9.0,0.0,576.0,0.0
40.948076,-92.546544,-5.815065,13.467808,0.1111111111111111,0.5555555555555556,1.0,5.0,64.0,320.0
67.668518,-144.056312,2.201329,12.189674,0.7777777777777777,0.2222222222222222,7.0,2.0,448.0,128.0
36.08998,-108.612884,-1.4019493,15.281592,0.6666666666666666,0.3333333333333333,6.0,3.0,384.0,192.0
36.100995,-117.081459,-0.94505644,13.885128,0.6666666666666666,1.0,6.0,9.0,384.0,576.0
34.660097,-77.436818,-6.129709,15.43543,0.3333333333333333,0.2222222222222222,3.0,2.0,192.0,128.0
47.17316,-95.108016,-6.0264215,12.873246,0.2222222222222222,0.0,2.0,0.0,128.0,0.0
19.267083,-155.210129,-2.793354,13.5347,0.3333333333333333,1.0,3.0,9.0,192.0,576.0
35.599822,-109.484575,-1.1105596,14.54065,0.6666666666666666,0.6666666666666666,6.0,6.0,384.0,384.0
37.885121,-82.896396,-6.9363675,13.652716,0.0,0.2222222222222222,0.0,2.0,0.0,128.0
42.97837,-99.677544,-3.4168658,14.344053,0.5555555555555556,0.1111111111111111,5.0,1.0,320.0,64.0
37.111724,-77.357885,-5.7789736,15.025713,0.3333333333333333,0.3333333333333333,3.0,3.0,192.0,192.0
27.990913,-97.839018,-6.605559,14.831232,0.3333333333333333,0.0,3.0,0.0,192.0,0.0
66.816891,-150.078161,2.7883563,12.061234,0.8888888888888888,0.5555555555555556,8.0,5.0,512.0,320.0
48.320229,-97.288943,-4.5864797,13.219464,0.2222222222222222,0.7777777777777777,2.0,7.0,128.0,448.0
36.994645,-83.471717,-6.918896,13.526905,0.0,0.1111111111111111,0.0,1.0,0.0,64.0
48.952179,-120.463177,0.075215556,13.170347,0.7777777777777777,1.0,7.0,9.0,448.0,576.0
